Ganho,VCM,Amostra,Serial
5,51.2,1,HA3996
10,56.2,1,HA3996
15,61.4,1,HA3996
20,66.5,1,HA3996
25,71.6,1,HA3996
30,76.4,1,HA3996
35,81.7,1,HA3996
40,86.6,1,HA3996
45,92,1,HA3996
50,97,1,HA3996
55,101.4,1,HA3996
60,110.5,1,HA3996
65,114.8,1,HA3996
70,119.3,1,HA3996
75,123.4,1,HA3996
80,127.9,1,HA3996
85,131.8,1,HA3996
90,136.2,1,HA3996
95,140.5,1,HA3996
100,144.4,1,HA3996
5,60.5,2,HAV1001
10,66.3,2,HAV1001
15,71.9,2,HAV1001
20,77.5,2,HAV1001
25,82,2,HAV1001
30,88.4,2,HAV1001
35,94.3,2,HAV1001
40,99.1,2,HAV1001
45,104.5,2,HAV1001
50,109,2,HAV1001
55,113.9,2,HAV1001
60,119.5,2,HAV1001
65,123.8,2,HAV1001
70,128.9,2,HAV1001
75,134.2,2,HAV1001
80,139.3,2,HAV1001
85,143.6,2,HAV1001
90,148.6,2,HAV1001
95,153.5,2,HAV1001
100,156.7,2,HAV1001
5,57.7,2,HA3996
15,68.3,2,HA3996
25,78.8,2,HA3996
30,84.15,2,HA3996
35,89.5,2,HA3996
45,100,2,HA3996
55,110.2,2,HA3996
65,119.5,2,HA3996
75,129,2,HA3996
85,137.7,2,HA3996
95,147.1,2,HA3996
100,151.2,2,HA3996
5,60,3,HA3996
10,65.6,3,HA3996
15,71.2,3,HA3996
20,76.8,3,HA3996
25,81.7,3,HA3996
30,87.4,3,HA3996
35,92.7,3,HA3996
40,98.1,3,HA3996
45,103,3,HA3996
50,107.9,3,HA3996
55,113,3,HA3996
60,118,3,HA3996
65,122.4,3,HA3996
70,127.2,3,HA3996
75,131.5,3,HA3996
80,134.2,3,HA3996
85,140.8,3,HA3996
90,144.4,3,HA3996
95,150.4,3,HA3996
100,154.3,3,HA3996
5,54.8,4,HA3996
10,59.6,4,HA3996
15,64.8,4,HA3996
20,69.7,4,HA3996
25,74.4,4,HA3996
30,79.4,4,HA3996
35,84.2,4,HA3996
40,89.1,4,HA3996
45,93.6,4,HA3996
50,97.8,4,HA3996
55,100.7,4,HA3996
60,107.3,4,HA3996
65,112.1,4,HA3996
70,115.8,4,HA3996
75,118,4,HA3996
80,124.2,4,HA3996
85,126.9,4,HA3996
90,132.5,4,HA3996
95,135.9,4,HA3996
100,140.3,4,HA3996
5,54.3,5,HA3996
25,74.7,5,HA3996
30,79.7,5,HA3996
35,84.5,5,HA3996
55,103.5,5,HA3996
75,121,5,HA3996
85,129.4,5,HA3996
95,138.7,5,HA3996
100,142.9,5,HA3996
5,59.6,6,HA3996
30,87.3,6,HA3996
35,92.7,6,HA3996
55,113.5,6,HA3996
85,143.8,6,HA3996
100,157.3,6,HA3996
5,58.1,7,HA3996
15,69.1,7,HA3996
25,79.5,7,HA3996
30,85.5,7,HA3996
35,90.2,7,HA3996
40,96,7,HA3996
50,105.7,7,HA3996
60,116,7,HA3996
70,125.5,7,HA3996
80,134.8,7,HA3996
90,144.5,7,HA3996
100,153.8,7,HA3996
5,50.8,7,HAVUFMG
15,60.1,7,HAVUFMG
25,69.3,7,HAVUFMG
30,74.2,7,HAVUFMG
35,78.6,7,HAVUFMG
40,82.9,7,HAVUFMG
50,91.8,7,HAVUFMG
60,100.8,7,HAVUFMG
70,109.5,7,HAVUFMG
80,118.6,7,HAVUFMG
90,125.9,7,HAVUFMG
100,134,7,HAVUFMG
5,58.3,8,HA3996
15,69.1,8,HA3996
25,79.9,8,HA3996
30,85.2,8,HA3996
35,90.6,8,HA3996
40,95.8,8,HA3996
50,105.8,8,HA3996
60,115.5,8,HA3996
70,124.8,8,HA3996
80,134.3,8,HA3996
90,143.9,8,HA3996
100,152.1,8,HA3996
5,51,8,HAVUFMG
25,69.3,8,HAVUFMG
30,74.2,8,HAVUFMG
40,82.9,8,HAVUFMG
50,93,8,HAVUFMG
60,101,8,HAVUFMG
70,109.3,8,HAVUFMG
80,118.2,8,HAVUFMG
90,125,8,HAVUFMG
100,134.1,8,HAVUFMG
5,55.4,9,HAVUFMG
10,60.9,9,HAVUFMG
15,65.7,9,HAVUFMG
20,71.5,9,HAVUFMG
25,75.6,9,HAVUFMG
30,81.2,9,HAVUFMG
35,,9,HAVUFMG
40,91.2,9,HAVUFMG
45,93.6,9,HAVUFMG
50,100.6,9,HAVUFMG
55,104,9,HAVUFMG
60,110.1,9,HAVUFMG
65,112.7,9,HAVUFMG
70,118.8,9,HAVUFMG
75,122.1,9,HAVUFMG
80,128.1,9,HAVUFMG
85,131.1,9,HAVUFMG
90,136.8,9,HAVUFMG
95,141.7,9,HAVUFMG
100,146.1,9,HAVUFMG
5,44.7,10,HAVUFMG
15,52.2,10,HAVUFMG
25,59.6,10,HAVUFMG
30,65,10,HAVUFMG
35,67.7,10,HAVUFMG
40,72.7,10,HAVUFMG
50,80.9,10,HAVUFMG
60,87.8,10,HAVUFMG
70,96.3,10,HAVUFMG
80,103.6,10,HAVUFMG
90,111.4,10,HAVUFMG
100,118.7,10,HAVUFMG
5,52.2,11,HAVUFMG
15,61.8,11,HAVUFMG
25,71.2,11,HAVUFMG
30,76.2,11,HAVUFMG
35,80.9,11,HAVUFMG
40,85.3,11,HAVUFMG
50,95.4,11,HAVUFMG
60,103.8,11,HAVUFMG
70,112.3,11,HAVUFMG
80,121.1,11,HAVUFMG
90,128.9,11,HAVUFMG
100,137.4,11,HAVUFMG
